,Date,Open,High,Low,Close,Adj Close,Volume
157,"Jul 12, 2022",164.80,165.91,162.10,163.27,163.27,"16,639,700"
158,"Jul 11, 2022",167.07,167.49,161.91,162.88,162.88,"21,885,600"
159,"Jul 08, 2022",169.98,172.40,168.15,170.88,170.88,"19,249,200"
160,"Jul 07, 2022",169.45,172.72,167.78,172.19,172.19,"24,083,400"
161,"Jul 06, 2022",168.20,171.59,165.46,169.77,169.77,"23,085,900"
162,"Jul 05, 2022",158.14,168.25,157.02,168.19,168.19,"28,618,600"
163,"Jul 01, 2022",160.31,160.62,155.00,160.03,160.03,"31,423,900"
164,"Jun 30, 2022",162.15,165.23,158.49,161.25,161.25,"35,250,600"
165,"Jun 29, 2022",163.57,166.33,160.32,163.94,163.94,"28,595,200"
166,"Jun 28, 2022",169.90,171.30,160.61,160.68,160.68,"27,744,500"
167,"Jun 27, 2022",171.32,171.75,168.01,169.49,169.49,"29,174,600"
168,"Jun 24, 2022",161.73,170.25,161.30,170.16,170.16,"68,736,000"
169,"Jun 23, 2022",156.27,159.75,154.25,158.75,158.75,"40,499,200"
170,"Jun 22, 2022",158.38,160.79,155.44,155.85,155.85,"47,267,800"
171,"Jun 21, 2022",165.93,167.76,155.97,157.05,157.05,"50,724,900"
172,"Jun 17, 2022",161.68,165.90,159.90,163.74,163.74,"31,374,200"
173,"Jun 16, 2022",163.72,165.08,159.61,160.87,160.87,"26,944,100"
174,"Jun 15, 2022",167.20,172.16,163.98,169.35,169.35,"30,008,300"
175,"Jun 14, 2022",166.03,166.75,161.36,163.73,163.73,"27,244,300"
176,"Jun 13, 2022",170.59,172.58,164.03,164.26,164.26,"31,749,300"
177,"Jun 10, 2022",183.04,183.10,175.02,175.57,175.57,"27,450,800"
178,"Jun 09, 2022",194.28,199.45,183.68,184.00,184.00,"23,501,600"
179,"Jun 08, 2022",194.67,202.03,194.41,196.64,196.64,"22,267,200"
180,"Jun 07, 2022",191.93,196.53,191.49,195.65,195.65,"18,828,700"
181,"Jun 06, 2022",193.99,196.92,188.40,194.25,194.25,"30,574,200"
182,"Jun 03, 2022",195.98,196.61,189.78,190.78,190.78,"19,465,000"
183,"Jun 02, 2022",188.45,200.94,187.73,198.86,198.86,"31,951,600"
184,"Jun 01, 2022",196.51,199.53,185.00,188.64,188.64,"36,623,500"
185,"May 31, 2022",194.89,197.60,192.01,193.64,193.64,"26,131,100"
186,"May 27, 2022",191.36,195.33,189.80,195.13,195.13,"22,562,700"
187,"May 26, 2022",182.88,192.83,182.26,191.63,191.63,"23,056,500"
188,"May 25, 2022",180.40,185.45,179.32,183.83,183.83,"28,030,200"
189,"May 24, 2022",180.55,183.68,176.11,181.28,181.28,"50,406,300"
190,"May 23, 2022",195.19,196.99,191.24,196.23,196.23,"25,059,200"
191,"May 20, 2022",194.97,197.91,187.87,193.54,193.54,"31,465,600"
192,"May 19, 2022",191.20,195.29,189.60,191.29,191.29,"24,446,900"
193,"May 18, 2022",200.00,201.00,191.63,192.24,192.24,"23,960,000"
194,"May 17, 2022",202.12,205.46,198.36,202.62,202.62,"24,872,700"
195,"May 16, 2022",197.05,205.37,195.93,200.04,200.04,"27,112,600"
196,"May 13, 2022",192.58,199.89,191.28,198.62,198.62,"24,549,800"
197,"May 12, 2022",187.06,198.05,184.78,191.24,191.24,"38,262,200"
198,"May 11, 2022",196.33,200.67,188.27,188.74,188.74,"31,153,400"
199,"May 10, 2022",199.51,202.96,194.19,197.65,197.65,"34,452,500"
200,"May 09, 2022",199.84,202.57,195.58,196.21,196.21,"36,303,200"
201,"May 06, 2022",207.34,209.38,201.02,203.77,203.77,"34,747,200"
202,"May 05, 2022",218.74,220.17,206.16,208.28,208.28,"41,129,200"
203,"May 04, 2022",210.65,224.30,206.96,223.41,223.41,"41,375,900"
204,"May 03, 2022",210.45,214.90,208.09,212.03,212.03,"41,556,300"
205,"May 02, 2022",201.17,211.88,200.99,211.13,211.13,"49,915,300"
206,"Apr 29, 2022",204.46,212.48,199.90,200.47,200.47,"49,193,400"
207,"Apr 28, 2022",202.92,208.53,192.90,205.73,205.73,"100,890,600"
208,"Apr 27, 2022",174.43,181.21,169.00,174.95,174.95,"71,062,900"
209,"Apr 26, 2022",186.63,187.19,179.50,180.95,180.95,"31,747,400"
210,"Apr 25, 2022",182.73,187.18,181.66,186.99,186.99,"29,281,100"
211,"Apr 22, 2022",190.37,192.72,183.27,184.11,184.11,"36,426,800"
212,"Apr 21, 2022",201.60,202.97,185.58,188.07,188.07,"49,954,100"
213,"Apr 20, 2022",213.61,214.16,198.92,200.42,200.42,"43,036,500"
214,"Apr 19, 2022",210.52,218.43,209.00,217.31,217.31,"20,089,900"
215,"Apr 18, 2022",210.00,213.38,208.30,210.77,210.77,"16,580,800"
216,"Apr 14, 2022",214.89,214.99,210.00,210.18,210.18,"18,379,500"
217,"Apr 13, 2022",211.82,216.61,211.33,214.99,214.99,"19,231,800"
